Page                                                  PageRank                                                  OutLinksCount          InLinksCount
https://www.theholocaustexplained.org/the-nazi-rise-to-power/  364.9191591640562  64  71
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/  364.9191591640562  86  71
https://www.theholocaustexplained.org/the-nazi-rise-to-power/how-did-the-nazi-gain-power/1933-elections/  364.9191591405241  64  70
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/religion/  364.9191591405241  93  70
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/foreign-policy-and-the-road-to-war/anschluss/  364.9191591405241  86  70
https://www.theholocaustexplained.org/the-nazi-rise-to-power/how-did-the-nazi-gain-power/the-enabling-law/  364.9191591405241  64  70
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/culture/  196.84146074777829  1  12
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/controlling-education/  195.6796151010126  1  13
https://www.theholocaustexplained.org/the-nazi-rise-to-power/the-effects-of-the-first-world-war-on-germany/  161.6798050487323  64  13
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/the-second-world-war/  161.04806282215807  88  14
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/jehovahs-witnesses/  160.47693662017934  1  12
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/disabled/  160.46752827296814  1  12
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/anti-semitic-laws/  159.24347982408833  1  11
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/media/  58.2843440029892  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/employment/  57.94032471820072  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/black-people/  47.516864809310526  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/political-prisoners/  47.51408283755611  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/evian-conference/  47.15163018328123  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/propaganda/  17.257860400180167  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/homosexuals/  14.068807818777382  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/kristallnacht/  13.961499783232762  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/terror/  5.110005531965841  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/lesbians/  4.165755149281486  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/roma/  4.133973035910905  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/foreign-policy-and-the-road-to-war/occupation-of-the-sudetenland/  2.3468731440942894  86  25
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/oppression/  2.160936667890215  1  11
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/economic-policy/  1.8962799307246674  1  2
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/foreign-policy-and-the-road-to-war/planning-for-war-the-hossbach-memorandum/  1.832708284218405  86  22
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/foreign-policy-and-the-road-to-war/  1.824196123089312  86  5
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/occupation-case-studies/  1.7983031450890303  1  2
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/olympics/  1.51308286347078  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/the-second-world-war/causes-of-the-second-world-war/  1.2871600688382487  88  9
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/controlling-everyday-life/  1.2564172056517438  1  1
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/foreign-policy-and-the-road-to-war/annexation-of-czechoslovakia/  0.559888359020641  86  16
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/foreign-policy-and-the-road-to-war/a-change-in-direction/  0.5536863501016697  86  16
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/foreign-policy-and-the-road-to-war/early-nazi-foreign-policy/  0.5517799886717945  86  15
https://www.theholocaustexplained.org/life-in-nazi-occupied-europe/the-second-world-war/invasion-of-poland/  0.5498801910402037  88  14
